id,image_url,image_format,link,title,date_from,date_to,description
c032560055,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560055.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=55,"Bexley, Alphington",1880,1930,Sydney Subdivision Plan
c032560059,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560059.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=59,"Hurstville, Hurstville Heights",1880,1930,Sydney Subdivision Plan
c032560060,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560060.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=60,"Hurstville, Olive Branch Estate",1880,1930,Sydney Subdivision Plan
c032560063,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560063.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=63,Hurstville,1880,1930,Sydney Subdivision Plan
c032720001,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720001.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=1,"Balmain, Bay Street",1880,1930,Sydney Subdivision Plan
c032720003,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720003.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=3,"Balmain, Mort's Dock",1880,1930,Sydney Subdivision Plan
c032720004,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720004.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=4,"Birchgrove, Snail's Bay",1880,1930,Sydney Subdivision Plan
c032720009,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720009.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=9,"Birchgrove, Snail's Bay",1880,1930,Sydney Subdivision Plan
c032720012,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720012.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=12,"Birchgrove, Birchgrove Estate",1880,1930,Sydney Subdivision Plan
c032720014,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720014.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=14,Birchgrove,1880,1930,Sydney Subdivision Plan
c032720016,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720016.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=16,Birchgrove,1880,1930,Sydney Subdivision Plan
c032720018,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720018.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=18,"Birchgrove, Snail's Bay",1880,1930,Sydney Subdivision Plan
c032720019,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720019.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=19,"Balmain, Waterview",1880,1930,Sydney Subdivision Plan
c032720020,http://acms.sl.nsw.gov.au/_zoomify/2015/D33828/c032720020.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291956&suppress=N&imgindex=20,"Balmain, Waterview",1880,1930,Sydney Subdivision Plan
c032730001,http://acms.sl.nsw.gov.au/_zoomify/2015/D33830/c032730001.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291957&suppress=N&imgindex=1,"Birrong, Station View Estate",1880,1930,Sydney Subdivision Plan
c032730002,http://acms.sl.nsw.gov.au/_zoomify/2015/D33830/c032730002.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291957&suppress=N&imgindex=2,"Birrong, Potts Hill Reservoir Estate",1880,1930,Sydney Subdivision Plan
c032730003,http://acms.sl.nsw.gov.au/_zoomify/2015/D33830/c032730003.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1291957&suppress=N&imgindex=3,"Auburn, Gascoigne's Estate",1880,1930,Sydney Subdivision Plan
